%VH	VH
378.676	0.0334431865631555
379.266	0.0141775890395235
379.856	0.0159639915158914
380.446	0.0563473939922595
381.034	0.0476076866297246
381.623	0.0213240341866411
382.213	0.00732143666300898
382.803	0.0055998391393771
383.39	3.68076857390584E-4
383.98	-0.0153885206662414
384.569	-0.0346541731093249
385.159	0.0145012293670431
385.746	0.00576146708505675
386.336	0.0478988695614247
386.925	-0.0134727828816588
387.512	0.00585845483635482
388.102	-0.00112714268727722
388.691	0.0182032048696393
389.278	0.0147274425876529
389.868	0.00774184506402086
390.455	0.00602008278203457
391.044	0.037631430338951
391.633	-0.0114592221041324
392.22	-9.00984386118867E-4
392.809	-0.00613163682920238
393.396	0.0360056008888112
393.985	0.0377929484457277
394.574	0.0290532960026443
395.161	-0.0130204662793422
395.749	0.0326258263581229
396.336	0.0519570640761364
396.925	0.011638411633053
397.512	0.0239506493510666
398.1	-5.78058011468388E-4
398.687	-0.0128268202934548
399.275	0.0696624723440102
399.862	0.0188167100620239
400.448	0.025866892860586
401.037	0.0241442404175025
401.623	0.00312442321606453
402.212	0.0347357707729811
402.798	0.0488029535715432
403.386	0.0453262462090083
403.973	0.0558844839270219
404.559	0.059425666725584
405.147	0.0243699593630491
405.733	0.0138761421616111
406.319	0.0156633249601732
406.908	0.0332386725170898
407.494	0.0560778553156519
408.08	0.0473390381142139
408.668	0.029827330751679
409.254	0.0333675135502411
409.839	0.0509436414293518
410.427	0.0386959340668168
411.013	0.0264471168653789
411.599	0.00191729966394104
412.185	0.0440554824625031
412.772	0.0160177201805167
413.358	-0.00500309702092118
413.944	0.0330686918187262
414.529	0.0113900436465717
415.117	0.0265501870222523
415.702	-0.0161804611499023
416.288	0.0112628211938882
416.873	0.0159001730217337
417.459	0.0258004553655242
418.044	0.0602618071933697
418.631	-0.0035239799468947
419.217	0.0274283023968959
419.802	0.00575065422474118
420.387	0.0612650060525868
420.972	0.0483583578804323
421.557	0.0424697097082777
422.142	0.0295640615361231
422.728	0.0254283438799136
423.313	0.0704166957077592
423.9	0.0417189085674947
424.485	0.11653126039534
425.069	0.0983626817072406
425.654	0.131071033535086
426.239	0.174304385362932
426.824	0.235082737190777
427.409	0.236211089018623
427.993	0.354884510330523
428.578	0.334960862158368
429.163	0.339598213986214
429.747	0.467045635298114
430.332	0.61904998712596
430.914	0.81667754740597
431.499	0.852891899233816
432.083	0.792617320545716
432.668	0.611291672373562
433.252	0.538737093685462
433.837	0.457411445513307
434.421	0.598886866825208
435.005	0.735102288137109
435.589	0.862547709449009
